DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"Quang Trung Street, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh","2,46 tỷ",,73 m²,Chưa bàn giao,"33,7 triệu/m²",2 phòng,,,,,,,
"Đường Xa lộ Đại Hàn, Phường Tam Bình (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,36 tỷ",Lotus Sen Hồng ( Violet Tower ),50 m²,Đã bàn giao,"27,2 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"Hẻm 134/1 Cách Mạng Tháng 8, Phường 10, Quận 3, Tp Hồ Chí Minh","1,99 tỷ",,26.5 m²,Chưa bàn giao,"75,09 triệu/m²",1 phòng,1 phòng,1,Đang chờ sổ,,,,
"Đường Hậu Giang, Phường 11, Quận 6 , Tp.HCM , Việt Nam, Phường 11, Quận 6, Tp Hồ Chí Minh","1,635 tỷ",Him Lam Chợ Lớn,74 m²,Đã bàn giao,"22,09 triệu/m²",2 phòng,2 phòng,,,,,,
"102, 102 Số 102 Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, TP. HCM, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","1,86 tỷ",Topaz Home,75 m²,Đã bàn giao,"24,8 triệu/m²",2 phòng,2 phòng,,,,,,
"Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","1,87 tỷ",Opal SaiGon Pearl,85 m²,Đã bàn giao,22 triệu/m²,2 phòng,2 phòng,,,,,,
"119, 119 119 Phổ Quang, Phường 9, Phú Nhuận, Hồ Chí Minh, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh","1,735 tỷ",Golden Mansion,69 m²,Đã bàn giao,"25,14 triệu/m²",2 phòng,2 phòng,,,,,,
"Số 108 - 112B - 114 Đường Hồng Hà, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","1,865 tỷ",Botanica Premier,85 m²,Đã bàn giao,"21,94 triệu/m²",2 phòng,2 phòng,,,,,,
"39, 39 Đường Bến Vân Đồn, Phường 13, Quận 4, Tp Hồ Chí Minh","1,785 tỷ",The Tresor,80 m²,Đã bàn giao,"22,31 triệu/m²",2 phòng,2 phòng,,,,,,
"18, Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","4,2 tỷ",Khu dân cư Cityland Park Hills,76 m²,Đã bàn giao,"55,26 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
