DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"Thống Nhất, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh","1,5 tỷ",,52 m²,Đã bàn giao,"28,85 triệu/m²",2 phòng,,,,,,,
"LÔ C, Đường Lộ Tẻ, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh","1,85 tỷ",,89 m²,Đã bàn giao,"20,79 triệu/m²",2 phòng,2 phòng,7,,,,Tây Bắc,
"96/1C, Nguyễn Trãi, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh","3,8 tỷ",,28 m²,Chưa bàn giao,"135,71 triệu/m²",1 phòng,1 phòng,,Đã có sổ,,,Nam,
"223, Hẻm 149 Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, Tp Hồ Chí Minh","1,8 tỷ",,73 m²,Đã bàn giao,"24,66 triệu/m²",2 phòng,2 phòng,2,,,,,
"134A Chung Cư phạm Thế Hiển phường 4 Quận 8 Tp.hcm, Phạm Thế HIỂN, Phường 4, Quận 8, Tp Hồ Chí Minh","2,3 tỷ",,42 m²,Chưa bàn giao,"54,76 triệu/m²",2 phòng,1 phòng,1,Đã có sổ,,,,
"Block A, Đường D4, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","3,55 tỷ",,76.5 m²,Đã bàn giao,"46,41 triệu/m²",2 phòng,2 phòng,13,,,,Nam,
"Đường Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","1,69 tỷ",,73 m²,Đã bàn giao,"23,15 triệu/m²",2 phòng,2 phòng,7,,,,Đông,
"16, Âu Cơ, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh","3,7 tỷ",Melody Residences,85.2 m²,Chưa bàn giao,"43,43 triệu/m²",3 phòng,2 phòng,16,,,,Bắc,
"7, Đường Thanh Đa, Phường 27, Quận Bình Thạnh, Tp Hồ Chí Minh","3,5 tỷ",,74 m²,Đã bàn giao,"47,3 triệu/m²",2 phòng,2 phòng,14,,,,Nam,
"An Lạc, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh","2,75 tỷ",Moonlight Park View,59 m²,Đã bàn giao,"46,61 triệu/m²",2 phòng,,,Đã có sổ,,,,
"Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","3,2 tỷ",,61 m²,Chưa bàn giao,"52,46 triệu/m²",2 phòng,1 phòng,14,,,Nam,,
"90A, Lý Thường Kiệt, Phường 14, Quận 10, Tp Hồ Chí Minh","4,6 tỷ",Xi Grand Court,78 m²,Đã bàn giao,"58,97 triệu/m²",2 phòng,2 phòng,,,,,,
"27, Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","2,68 tỷ",Carillon 2,70 m²,Đã bàn giao,"38,29 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"Hẻm Phan Đăng Lưu, Phường 1, Quận Phú Nhuận, Tp Hồ Chí Minh","6,5 tỷ",,155 m²,Đã bàn giao,"41,94 triệu/m²",3 phòng,,,,,,,
"Số 19, Cộng Hòa, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh","3,78 tỷ",Cộng Hòa Plaza,78 m²,Đã bàn giao,"48,46 triệu/m²",2 phòng,2 phòng,13,Đã có sổ,,,,
"Lê Đại Hành, Phường 15, Quận 11, Tp Hồ Chí Minh","4,6 tỷ",The Flemington,90 m²,Đã bàn giao,"51,11 triệu/m²",2 phòng,2 phòng,,,,,,
"126, Hồng Bàng, Phường 12, Quận 5, Tp Hồ Chí Minh","5,6 tỷ",Hùng Vương Plaza,130 m²,Đã bàn giao,"43,08 triệu/m²",3 phòng,3 phòng,,,,,,Căn góc
"Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","4,5 tỷ",,109 m²,Đã bàn giao,"41,28 triệu/m²",2 phòng,,,,,,,
"BLOCK B, Đường Số 10, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","4,6 tỷ",,87.3 m²,Đã bàn giao,"52,69 triệu/m²",3 phòng,2 phòng,6,,,,Đông Bắc,
"Số 1, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,45 tỷ",Lavita Charm,68 m²,Đã bàn giao,"36,03 triệu/m²",2 phòng,,20,Đang chờ sổ,,,,
"Số 1177, Số 1177 đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","3,5 tỷ",D-Vela,110 m²,Đã bàn giao,"31,82 triệu/m²",3 phòng,,,Đã có sổ,Nhà trống,,,
"334, Tô Hiến Thành, Phường 14, Quận 10, Tp Hồ Chí Minh","4,15 tỷ",Kingdom 101,50 m²,Đã bàn giao,83 triệu/m²,1 phòng,1 phòng,,,,,,
"45, Trương Đình Hội, Phường 16, Quận 8, Tp Hồ Chí Minh","2,1 tỷ",,100.1 m²,Đã bàn giao,"20,98 triệu/m²",3 phòng,3 phòng,3,,,,,
"Vĩnh Phú, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,2 tỷ",,40 m²,Chưa bàn giao,30 triệu/m²,1 phòng,1 phòng,,,Nội thất đầy đủ,,,
"Chung Cư Nhiêu Tứ, Đường Hoa Sứ, Phường 7, Quận Phú Nhuận, Tp Hồ Chí Minh","3,2 tỷ",,68 m²,Đã bàn giao,"47,06 triệu/m²",2 phòng,1 phòng,6,,,,Đông,
"Nguyễn Thị Thập, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",6 tỷ,,121 m²,Đã bàn giao,"49,59 triệu/m²",3 phòng,3 phòng,,,,Đông,Tây Nam,
"Chung Cư Ngô Tất Tố, Ngô Tất Tố, Phường 19, Quận Bình Thạnh, Tp Hồ Chí Minh","2,85 tỷ",,68.5 m²,Đã bàn giao,"41,61 triệu/m²",2 phòng,1 phòng,,,,Bắc,Nam,
"Phạm hùng, Phường 4, Quận 8, Tp Hồ Chí Minh","1,75 tỷ",,64 m²,Chưa bàn giao,"27,34 triệu/m²",2 phòng,1 phòng,,Đã có sổ,Nội thất cao cấp,,,
"241/42, Nguyễn Văn Luông, Phường 11, Quận 6, Tp Hồ Chí Minh","2,03 tỷ",Starlight Riverside,72 m²,Đã bàn giao,"28,19 triệu/m²",2 phòng,2 phòng,,,,,,Căn góc
"01, Đường Tân Túc, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh","2,6 tỷ",,59 m²,Đã bàn giao,"44,07 triệu/m²",2 phòng,2 phòng,6,,,,Nam,
"7/28, Thành Thái, Phường 14, Quận 10, Tp Hồ Chí Minh","4,2 tỷ",Rivera Park Sài Gòn,75 m²,Đã bàn giao,56 triệu/m²,2 phòng,2 phòng,,,,,,
"202, Nguyễn Duy Trinh, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,8 tỷ",Homyland 1,117 m²,Đã bàn giao,"32,48 triệu/m²",3 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh","4,55 tỷ",Eco Green Sài Gòn,87 m²,Đã bàn giao,"52,3 triệu/m²",3 phòng,2 phòng,,,,Tây Nam,,
"8 trần hữu trang, Hẻm 8 Trần Hữu Trang, Phường 11, Quận Phú Nhuận, Tp Hồ Chí Minh","3,3 tỷ",,31.3 m²,Chưa bàn giao,"105,43 triệu/m²",1 phòng,1 phòng,,Đã có sổ,Bàn giao thô,,,
"Tôn Thất Thuyết, Phường 1, Quận 4, Tp Hồ Chí Minh",2 tỷ,Chung cư Tôn Thất Thuyết,50 m²,Đã bàn giao,40 triệu/m²,1 phòng,1 phòng,10,,,,,
"Đường Nguyễn Ngọc Phương, Phường 19, Quận Bình Thạnh, Tp Hồ Chí Minh","5,2 tỷ",,95 m²,Đã bàn giao,"54,74 triệu/m²",3 phòng,,,,,,,
"Phạm Văn Đồng, Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,6 tỷ",Flora Novia,80 m²,Đã bàn giao,45 triệu/m²,3 phòng,2 phòng,,Đang chờ sổ,,,,
"c11.10, Hẻm 351 Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh","1,75 tỷ",,54 m²,Đã bàn giao,"32,41 triệu/m²",1 phòng,1 phòng,11,,,,Tây Bắc,
"208, Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","1,56 tỷ",Vinhomes Central Park,76 m²,Đã bàn giao,"20,53 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","3,4 tỷ",Akari City,75 m²,Đã bàn giao,"45,33 triệu/m²",2 phòng,,,,,,,
"295, Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh","3,3 tỷ",An Gia Garden,83 m²,Đã bàn giao,"39,76 triệu/m²",3 phòng,2 phòng,9,,,,,
"1G, Đường Số 10, Phường 13, Quận 6, Tp Hồ Chí Minh","1,75 tỷ",,47 m²,Chưa bàn giao,"37,23 triệu/m²",2 phòng,1 phòng,10,,,Bắc,Nam,
"295, Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh","2,75 tỷ",An Gia Garden,61 m²,Đã bàn giao,"45,08 triệu/m²",2 phòng,2 phòng,6,,,,Tây,
"Nguyễn Thị Định, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,6 tỷ",Centana Thủ Thiêm,59 m²,Đã bàn giao,"61,02 triệu/m²",2 phòng,2 phòng,24,,,,,
"Chung Cư Ngô Tất Tố 76B, Ngô Tất Tố, Phường 19, Quận Bình Thạnh, Tp Hồ Chí Minh","2,55 tỷ",,74 m²,Đã bàn giao,"34,46 triệu/m²",2 phòng,1 phòng,3,,,,Tây,
"Chung Cư Hồ Văn Huê, Hẻm 43D Hồ Văn Huê, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh","2,5 tỷ",,52 m²,Đã bàn giao,"48,08 triệu/m²",2 phòng,1 phòng,2,,,,Tây Bắc,
"377, Tân Hương, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",520 triệu,,18 m²,Đã bàn giao,"28,89 triệu/m²",1 phòng,1 phòng,,,Nội thất đầy đủ,,Tây Bắc,
"Tân Túc, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh","2,05 tỷ",West Gate Park,60 m²,Đã bàn giao,"34,17 triệu/m²",2 phòng,2 phòng,,,,,,
"Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","4,9 tỷ",,50 m²,Chưa bàn giao,98 triệu/m²,1 phòng,1 phòng,,Giấy tờ khác,,Tây Nam,,
"Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","2,7 tỷ",,66 m²,Chưa bàn giao,"40,91 triệu/m²",2 phòng,3 phòng,4,,,,,
"Đường Thành Thái, Phường 14, Quận 10, Thành phố Hồ Chí Minh, Phường 14, Quận 10, Tp Hồ Chí Minh","2,6 tỷ",Chung cư Đào Duy Từ,68 m²,Đã bàn giao,"38,24 triệu/m²",2 phòng,2 phòng,5,Đã có sổ,,,,
"Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","4,2 tỷ",Saigon South Residences,104 m²,Đã bàn giao,"40,38 triệu/m²",3 phòng,2 phòng,,Đang chờ sổ,Bàn giao thô,,,
"3 Tháng 2, Phường 12, Quận 10, Tp Hồ Chí Minh","1,95 tỷ",,87.77 m²,Chưa bàn giao,"22,22 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"10, Hẻm 201 Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","4,47 tỷ",,94 m²,Đã bàn giao,"47,55 triệu/m²",2 phòng,2 phòng,10,,,,Tây Bắc,
"Đường Nguyễn Văn Trỗi, Phường 11, Quận Phú Nhuận, Tp Hồ Chí Minh","8,6 tỷ",,99 m²,Đã bàn giao,"86,87 triệu/m²",3 phòng,,,Đã có sổ,,,,
"Trần Phú, Phường 7, Quận 5, Tp Hồ Chí Minh","1,35 tỷ",,40 m²,Đã bàn giao,"33,75 triệu/m²",1 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","2,25 tỷ",PiCity High Park,58 m²,Đã bàn giao,"38,79 triệu/m²",2 phòng,1 phòng,,,,Tây,,
"Hẻm 98 Đường Trương Định, Phường 9, Quận 3, Tp Hồ Chí Minh","1,8 tỷ",,30 m²,Đã bàn giao,60 triệu/m²,1 phòng,1 phòng,1,Đã có sổ,,,,
"Đường Số 15B nguyễn lương bằng nối dài, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","1,77 tỷ",,85 m²,Đã bàn giao,"20,82 triệu/m²",2 phòng,3 phòng,,,,,,
"15B, Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","2,25 tỷ",Orchid Park,83 m²,Đã bàn giao,"27,11 triệu/m²",3 phòng,2 phòng,,,Nội thất cao cấp,,,
"số 100, đường Cô Giang, Quận 1, TP HCM, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh","2,48 tỷ",Soho Residence,65 m²,Đã bàn giao,"38,15 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"vành đai 2, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,7 tỷ",,52 m²,Chưa bàn giao,"32,69 triệu/m²",1 phòng,,,,,,,
"Đường Song Hành, Thị trấn Hóc Môn, Huyện Hóc Môn, Tp Hồ Chí Minh","2,891 tỷ",,72.22 m²,Chưa bàn giao,"40,03 triệu/m²",2 phòng,2 phòng,,,,Đông,Tây,
"Đường Dương Thị Mười, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",2 tỷ,,80 m²,Đã bàn giao,25 triệu/m²,3 phòng,2 phòng,8,,,,Nam,
"Nguyễn Đình Chiểu, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh","1,48 tỷ",,85 m²,Đã bàn giao,"17,41 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"An Lạc, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh","3,15 tỷ",Moonlight Park View,78 m²,Đã bàn giao,"40,38 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,Căn góc
"49, 8, Phường 8, Quận 8, Tp Hồ Chí Minh","3,15 tỷ",Diamond Lotus Riverside,58 m²,Đã bàn giao,"54,31 triệu/m²",2 phòng,1 phòng,,Đang chờ sổ,,Đông Nam,,
