DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"Đường Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh","6,4 tỷ",,151 m²,Đã bàn giao,"42,38 triệu/m²",2 phòng,3 phòng,,Đã có sổ,,,,
"192, Phường 6, Quận 8, Tp Hồ Chí Minh","1,15 tỷ",Heaven Riverview,1 m²,Chưa bàn giao,"1,15 tỷ/m²",1 phòng,1 phòng,,Đã có sổ,,,,
"Đường Nguyễn Cơ Thạch, Phường Thủ Thiêm (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",9 tỷ,Thu Thiem Zeit River,60.62 m²,Chưa bàn giao,"148,47 triệu/m²",1 phòng,1 phòng,,Giấy tờ khác,,,,
"Số 132, Số 132 Đường Bến Vân Đồn, Phường 6, Quận 4, Tp Hồ Chí Minh","1,865 tỷ",Masteri Millennium,80 m²,Đã bàn giao,"23,31 triệu/m²",2 phòng,2 phòng,,,,,,
"Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","1,55 tỷ",,67 m²,Đã bàn giao,"23,13 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Dương Quảng Hàm, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh","2,85 tỷ",Osimi Tower,68 m²,Đã bàn giao,"41,91 triệu/m²",2 phòng,2 phòng,,,,Đông Bắc,Tây Nam,
"208, 208 Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","4,5 tỷ",Vinhomes Central Park,63 m²,Đã bàn giao,"71,43 triệu/m²",2 phòng,1 phòng,,,Nội thất đầy đủ,,,
"Đường Nguyễn Cơ Thạch, Phường Thủ Thiêm (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",9 tỷ,Thu Thiem Zeit River,60.62 m²,Chưa bàn giao,"148,47 triệu/m²",1 phòng,1 phòng,,Giấy tờ khác,,,,
"Số 584, Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","7,5 tỷ",The View Riviera Point,129 m²,Đã bàn giao,"58,14 triệu/m²",3 phòng,,,,,,,
"Nguyễn Oanh, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh","2,15 tỷ",,65 m²,Chưa bàn giao,"33,08 triệu/m²",2 phòng,1 phòng,,,,Đông Bắc,Tây Nam,
"Đường D4, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","3,4 tỷ",,78 m²,Chưa bàn giao,"43,59 triệu/m²",3 phòng,2 phòng,,,,,,
"32, Đường Hoàng Bật Đạt, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh","1,5 tỷ",,69 m²,Đã bàn giao,"21,74 triệu/m²",2 phòng,2 phòng,,,,,,
"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,75 tỷ",Vinhomes Grand Park,32.5 m²,Chưa bàn giao,"53,85 triệu/m²",1 phòng,,,,,,,
"Số 200, Số 200 đường 3/2, Phường 12, Quận 10, Tp Hồ Chí Minh","1,45 tỷ",Hà Đô Centrosa Garden,1 m²,Đã bàn giao,"1,45 tỷ/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Đường Nhật Tảo, Phường 7, Quận 10, Tp Hồ Chí Minh","1,44 tỷ",,65 m²,Đã bàn giao,"22,15 triệu/m²",2 phòng,2 phòng,2,Đã có sổ,,,,
"Số 207, Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","1,55 tỷ",Richmond City,70 m²,Đã bàn giao,"22,14 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",4 tỷ,The Sun Avenue,76 m²,Đã bàn giao,"52,63 triệu/m²",2 phòng,,,,,,,
"83, 83 Đường Lý Chính Thắng, Phường 8, Quận 3, Hồ Chí Minh, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh","1,725 tỷ",Terra Royal,78 m²,Đã bàn giao,"22,12 triệu/m²",2 phòng,2 phòng,,,,,,
"cc5, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","2,38 tỷ",,80 m²,Đã bàn giao,"29,75 triệu/m²",2 phòng,,,,,,,Căn góc
"208, Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","2,868 tỷ",Vinhomes Central Park,118 m²,Đã bàn giao,"24,31 triệu/m²",3 phòng,2 phòng,,Đã có sổ,,,,
"Đường Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,64 tỷ",,76 m²,Đã bàn giao,"21,58 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Bình Trưng Tây, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,77 tỷ",Homyland 3 (Homyland Riverside),1 m²,Đã bàn giao,"1,77 tỷ/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Số 132, Bến Vân Đồn, Phường 6, Quận 4, Tp Hồ Chí Minh","2,69 tỷ",Masteri Millennium,1 m²,Đã bàn giao,"2,69 tỷ/m²",3 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Đường Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh","2,7 tỷ",,86 m²,Đã bàn giao,"31,4 triệu/m²",3 phòng,2 phòng,,Đã có sổ,,,,
"104, Phổ Quang, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","1,86 tỷ",The Botanica,74 m²,Đã bàn giao,"25,14 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,
