DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"Vinh Viên, Phường 7, Quận 10, Tp Hồ Chí Minh","4,1 tỷ",,66 m²,Đã bàn giao,"62,12 triệu/m²",3 phòng,2 phòng,,,,Tây,Tây,
"Phú hữu, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",31 triệu,,63 m²,Chưa bàn giao,492.063 đ/m²,2 phòng,2 phòng,13,,,,,
"70, Lữ Gia, Phường 15, Quận 11, Tp Hồ Chí Minh","1,75 tỷ",Lữ Gia Plaza,65 m²,Đã bàn giao,"26,92 triệu/m²",2 phòng,,,,,,,
"Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh","1,48 tỷ",,50 m²,Đã bàn giao,"29,6 triệu/m²",1 phòng,,,,,,,
"Đường Sư Vạn Hạnh, Phường 9, Quận 5, Tp Hồ Chí Minh","2,65 tỷ",,60 m²,Đã bàn giao,"44,17 triệu/m²",2 phòng,1 phòng,9,,,,Đông,
"Trường Lưu, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,202743294 tỷ",MT Eastmark City,60.4 m²,Chưa bàn giao,"36,47 triệu/m²",2 phòng,1 phòng,4,,,,,
"Trường Lưu, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,855498272 tỷ",MT Eastmark City,63.4 m²,Chưa bàn giao,"45,04 triệu/m²",2 phòng,1 phòng,7,,,,,
"Cát Lái, Phường Cát Lái (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,715 tỷ",Citi Soho,61 m²,Đã bàn giao,"28,11 triệu/m²",2 phòng,2 phòng,,,Nội thất cao cấp,,,Căn góc
"Trường Lưu, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,463 tỷ",MT Eastmark City,73 m²,Chưa bàn giao,"47,44 triệu/m²",2 phòng,2 phòng,,Giấy tờ khác,Nhà trống,,,
"Trường Lưu, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,582 tỷ",MT Eastmark City,63 m²,Chưa bàn giao,"40,98 triệu/m²",1 phòng,1 phòng,,Giấy tờ khác,,,,
"Trường Lưu, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","4,181 tỷ",MT Eastmark City,99 m²,Chưa bàn giao,"42,23 triệu/m²",3 phòng,3 phòng,,Giấy tờ khác,Nhà trống,,,
