DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","4,9 tỷ",Sunrise City,115 m²,Đã bàn giao,"42,61 triệu/m²",3 phòng,,22,,,Đông,Tây,
"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,7 tỷ",Ricca,58 m²,Đã bàn giao,"29,31 triệu/m²",2 phòng,,,,Nội thất đầy đủ,,,
"208, Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","7,95 tỷ",Vinhomes Central Park,126 m²,Đã bàn giao,"63,1 triệu/m²",3 phòng,2 phòng,,,,,,
"512, Nguyễn Xiển, phường Long Thạnh Mỹ, Quận 9, HCM, Ho Chi Minh City, Vietnam, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,6 tỷ",The Beverly Solari - Vinhomes Grand Park,27 m²,Chưa bàn giao,"59,26 triệu/m²",1 phòng,1 phòng,,,,Đông,Tây,
"Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","3,55 tỷ",Sunrise Riverside,70 m²,Đã bàn giao,"50,71 triệu/m²",2 phòng,2 phòng,10,,,,Nam,
"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,67 tỷ",Vinhomes Grand Park,67 m²,Đã bàn giao,"24,93 triệu/m²",2 phòng,2 phòng,19,,,,Đông Nam,
"29, Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh","19,9 tỷ",,110 m²,Đã bàn giao,"180,91 triệu/m²",3 phòng,3 phòng,,Đã có sổ,Nội thất cao cấp,,,
"Hẻm 569 Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh","1,9 tỷ",,63 m²,Đã bàn giao,"30,16 triệu/m²",2 phòng,1 phòng,,,,,,
"Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","3,25 tỷ",Mizuki Park,78 m²,Đã bàn giao,"41,67 triệu/m²",2 phòng,2 phòng,,,,,,
"Đường Tạ Hiện, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","5,332 tỷ",One Verandah Mapletree,80 m²,Đã bàn giao,"66,65 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,
"Mai Chí Thọ, Phường Thủ Thiêm (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","13,8 tỷ",Empire City Thủ Thiêm,96 m²,Chưa bàn giao,"143,75 triệu/m²",2 phòng,2 phòng,,,,,,
