DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"Đường D7, Phường Phú Hữu, Quận 9, Hồ Chí Minh, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,8 tỷ",Ricca,115 m²,Đã bàn giao,"33,04 triệu/m²",2 phòng,1 phòng,17,,,Đông Bắc,,
"151, Bến Vân Đồn, Phường 6, Quận 4, Tp Hồ Chí Minh","4,6 tỷ",River Gate,75 m²,Đã bàn giao,"61,33 triệu/m²",2 phòng,2 phòng,,,,,,
"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,4 tỷ",Vinhomes Grand Park,59 m²,Chưa bàn giao,"40,68 triệu/m²",2 phòng,2 phòng,,,,,,
"77 võ văn kiêt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","4,2 tỷ",Akari City,84 m²,Chưa bàn giao,50 triệu/m²,2 phòng,2 phòng,10,,,Đông Nam,,
"208, Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","7,95 tỷ",Vinhomes Central Park,126 m²,Đã bàn giao,"63,1 triệu/m²",3 phòng,2 phòng,,,,,,
"195, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","1,41 tỷ",Topaz City,79 m²,Đã bàn giao,"17,85 triệu/m²",2 phòng,2 phòng,,,,,,
"Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh","10,8 tỷ",,103 m²,Chưa bàn giao,"104,85 triệu/m²",nhiều hơn 10 phòng,Nhiều hơn 6 phòng,,Đã có sổ,Nội thất cao cấp,,,
"Trường Lưu, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,478 tỷ",MT Eastmark City,63 m²,Chưa bàn giao,"39,33 triệu/m²",1 phòng,1 phòng,,,,Tây Nam,Nam,
"Trường Lưu, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,518 tỷ",MT Eastmark City,65 m²,Chưa bàn giao,"38,74 triệu/m²",2 phòng,1 phòng,,,,Tây Bắc,Tây Nam,
"Song Hành, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,2 tỷ",Jamila Khang Điền,85 m²,Đã bàn giao,"25,88 triệu/m²",2 phòng,2 phòng,10,,,,,
