DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","1,35 tỷ",EHome 3,50 m²,Chưa bàn giao,27 triệu/m²,1 phòng,1 phòng,,Đã có sổ,Nhà trống,,,
"Đường Nguyễn Thị Định, Phường Cát Lái (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2 tỷ,Citi Esto,55 m²,Đã bàn giao,"36,36 triệu/m²",2 phòng,2 phòng,,,,,,
"Nguyễn Văn Linh, Xã Đa Phước, Huyện Bình Chánh, Tp Hồ Chí Minh","2,6 tỷ",,58 m²,Đã bàn giao,"44,83 triệu/m²",2 phòng,1 phòng,,,,,,
"Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","2,75 tỷ",Mizuki Park,72 m²,Đã bàn giao,"38,19 triệu/m²",2 phòng,2 phòng,,,,,,
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,15 tỷ",Vinhomes Grand Park,30 m²,Đã bàn giao,"38,33 triệu/m²",1 phòng,1 phòng,,Đã có sổ,,,,
"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,3 tỷ",The Origami – Vinhomes Grand Park,60 m²,Chưa bàn giao,"38,33 triệu/m²",2 phòng,,,,,,,
"Đường Số 46, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,05 triệu",,57 m²,Chưa bàn giao,35.965 đ/m²,2 phòng,,,Đã có sổ,,Đông Nam,,
"Trường Lưu, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",810 triệu,MT Eastmark City,63 m²,Chưa bàn giao,"12,86 triệu/m²",1 phòng,1 phòng,,,,,,
"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,799 tỷ",The Origami – Vinhomes Grand Park,69 m²,Đã bàn giao,"40,57 triệu/m²",2 phòng,2 phòng,,,,,,
"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,7 tỷ",Vinhomes Grand Park,69 m²,Chưa bàn giao,"53,62 triệu/m²",2 phòng,2 phòng,,,,,,
"Đường số 2, Phường Bình Trưng Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,65 tỷ",HQC Bình Trưng Đông (Blue Sky Tower),88 m²,Đã bàn giao,"30,11 triệu/m²",3 phòng,2 phòng,,,Nhà trống,,,
"Đường Nguyễn Văn Linh, Phường Tân Thuận Tây,  Quận 7, Hồ Chí Minh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh","1,895 tỷ",Eco Green Sài Gòn,68 m²,Đã bàn giao,"27,87 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Đường Lò Lu, Phường Trường Thạnh (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,2 tỷ",,34.7 m²,Chưa bàn giao,"63,4 triệu/m²",1 phòng,,,Giấy tờ khác,,,,
"Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","5,6 tỷ",The Symphony_Giai đoạn 2 Midtown,91 m²,Đã bàn giao,"61,54 triệu/m²",2 phòng,2 phòng,11,,,,Tây Bắc,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,38 tỷ",Saigon Riverside Complex Q7,67 m²,Chưa bàn giao,"35,52 triệu/m²",2 phòng,2 phòng,,,,,,
