DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"128, Hồng Hà, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh",5 tỷ,Orchard Garden,73 m²,Đã bàn giao,"68,49 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,Tây Bắc,
"Bình An, Phường An Khánh (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","13,7 tỷ",The River Thủ Thiêm,82 m²,Đã bàn giao,"167,07 triệu/m²",2 phòng,2 phòng,,,,,,
"Lộ Tẻ, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh",2 tỷ,Căn hộ Vĩnh Tường,85 m²,Đã bàn giao,"23,53 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"102, 102 Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","1,9 tỷ",Topaz Home,60 m²,Đã bàn giao,"31,67 triệu/m²",2 phòng,,,,,,,
"Đường Xa lộ Đại Hàn, Phường Tam Bình (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",980 triệu,Lotus Sen Hồng ( Violet Tower ),37 m²,Chưa bàn giao,"26,49 triệu/m²",1 phòng,1 phòng,,Đã có sổ,,,,
"Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","1,6 tỷ",Prosper Plaza,53 m²,Đã bàn giao,"30,19 triệu/m²",2 phòng,2 phòng,,,,,,
"Số 181, Cao Thắng, Phường 12, Quận 10, Tp Hồ Chí Minh","2,45 tỷ",Charmington La Pointe,51 m²,Chưa bàn giao,"48,04 triệu/m²",1 phòng,1 phòng,,,,,,
"Số 181, Cao Thắng, Phường 12, Quận 10, Tp Hồ Chí Minh","1,55 tỷ",Charmington La Pointe,35 m²,Chưa bàn giao,"44,29 triệu/m²",1 phòng,1 phòng,,,,,,
"số 152, Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh","4,3 tỷ",152 Điện Biên Phủ,74 m²,Đã bàn giao,"58,11 triệu/m²",2 phòng,2 phòng,12,,,,,
"334, Tô Hiến Thành, Phường 14, Quận 10, Tp Hồ Chí Minh","3,75 tỷ",Kingdom 101,48 m²,Đã bàn giao,"78,13 triệu/m²",1 phòng,1 phòng,,,,,,
"Chung Cư Ngô Tất Tố 76C, Ngô Tất Tố, Phường 19, Quận Bình Thạnh, Tp Hồ Chí Minh","2,85 tỷ",,68.5 m²,Đã bàn giao,"41,61 triệu/m²",2 phòng,1 phòng,,,,Bắc,Nam,
"10, Mai Chí Thọ, Phường An Lợi Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",25 triệu,Sadora Apartment,106.7 m²,Đã bàn giao,234.302 đ/m²,3 phòng,2 phòng,,,,,,
"Dương Thị Giang, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","2,4 tỷ",CTL Tower,70 m²,Đã bàn giao,"34,29 triệu/m²",2 phòng,2 phòng,,,,,,
"Ngô Chí Quốc, Phường Bình Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,25 tỷ",TDH RiverView,61 m²,Đã bàn giao,"20,49 triệu/m²",2 phòng,2 phòng,11,Đã có sổ,,,,
"854-856, Tạ Quang Bửu, Phường 5, Quận 8, Tp Hồ Chí Minh","3,5 tỷ",Samland Giai Việt,115 m²,Đã bàn giao,"30,43 triệu/m²",2 phòng,2 phòng,,,,,,
"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","4,5 tỷ",The Sun Avenue,86 m²,Đã bàn giao,"52,33 triệu/m²",3 phòng,2 phòng,,,,,,
"290, An Dương Vương, Phường 4, Quận 5, Tp Hồ Chí Minh","2,7 tỷ",The Everrich Infinity,40 m²,Đã bàn giao,"67,5 triệu/m²",1 phòng,1 phòng,,,,,,
"Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","2,55 tỷ",The Pegasuite,60 m²,Đã bàn giao,"42,5 triệu/m²",2 phòng,,,,,,,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","1,97 tỷ",Saigon Riverside Complex Q7,70 m²,Đã bàn giao,"28,14 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,
"Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","1,7 tỷ",Tecco Green Nest,58 m²,Đã bàn giao,"29,31 triệu/m²",2 phòng,2 phòng,,,,,,
"30, Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,7 tỷ",4S Riverside Linh Đông,70 m²,Đã bàn giao,"24,29 triệu/m²",2 phòng,2 phòng,,,,,,
"Đường Tân Thành, Phường 16, Quận 11, Tp Hồ Chí Minh","2,1 tỷ",,60 m²,Đã bàn giao,35 triệu/m²,1 phòng,1 phòng,4,,,,,
"Số 181, Cao Thắng, Phường 12, Quận 10, Tp Hồ Chí Minh","2,95 tỷ",Charmington La Pointe,60 m²,Đã bàn giao,"49,17 triệu/m²",2 phòng,2 phòng,,,,,,
"11, Phường 11, Quận 6, Tp Hồ Chí Minh","3,2 tỷ",Him Lam Chợ Lớn,83 m²,Đã bàn giao,"38,55 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,Căn góc
"101 lô F, Đường Nguyễn Giản Thanh, Phường 15, Quận 10, Tp Hồ Chí Minh","2,65 tỷ",,53 m²,Đã bàn giao,50 triệu/m²,1 phòng,1 phòng,,Đã có sổ,,,,
"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","5,415 tỷ",Celadon City,117 m²,Đã bàn giao,"46,28 triệu/m²",3 phòng,,11,,,,,
"Trường Chinh, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","2,2 tỷ",,63 m²,Đã bàn giao,"34,92 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"Nguyễn Phúc Nguyên, Phường 10, Quận 3, Tp Hồ Chí Minh","3,85 tỷ",Cao ốc Nguyễn Phúc Nguyên,83 m²,Đã bàn giao,"46,39 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","2,3 tỷ",Goldora Plaza,58.5 m²,Đã bàn giao,"39,32 triệu/m²",2 phòng,1 phòng,6,,,,Đông Bắc,
"Chu Văn An, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh","3,4 tỷ",Đất Phương Nam,90 m²,Đã bàn giao,"37,78 triệu/m²",3 phòng,2 phòng,,,,,,
"Trần Hưng Đạo, Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh","2,4 tỷ",,36 m²,Đã bàn giao,"66,67 triệu/m²",2 phòng,1 phòng,,,,Đông Nam,Đông Nam,
"Số 4, Số 4 Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,5 tỷ",Saigon Riverside Complex Q7,67 m²,Đã bàn giao,"37,31 triệu/m²",2 phòng,2 phòng,,,,,,
"Số 4, Số 4 Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","1,9 tỷ",Saigon Riverside Complex Q7,57 m²,Đã bàn giao,"33,33 triệu/m²",1 phòng,1 phòng,,,,,,
"4.08, Đường Hẻm Liên Phường, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,85 tỷ",,66 m²,Đã bàn giao,"28,03 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"Đường số 20, phường Hiệp Bình Chánh, quận Thủ Đức, TP Hồ Chí Minh, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,82 tỷ",Opal Garden,72 m²,Đã bàn giao,"25,28 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","2,65 tỷ",,100 m²,Chưa bàn giao,"26,5 triệu/m²",2 phòng,2 phòng,,,,,,
"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,75 tỷ",Ricca,56 m²,Đã bàn giao,"31,25 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,
"Trường Lưu, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","4,4 tỷ",MT Eastmark City,96 m²,Chưa bàn giao,"45,83 triệu/m²",3 phòng,3 phòng,,,,,,
"Lý Thường Kiệt, Phường 7, Quận 10, Tp Hồ Chí Minh","1,3 tỷ",Chung Cư Nguyễn Kim,1 m²,Đã bàn giao,"1,3 tỷ/m²",2 phòng,1 phòng,,Đã có sổ,,,,
"Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","1,65 tỷ",The Pegasuite,68 m²,Đã bàn giao,"24,26 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nhà trống,,,
"351/31, Nơ Trang Long, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh","1,83 tỷ",Chung cư Cửu Long,65 m²,Đã bàn giao,"28,15 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nhà trống,,,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","1,788 tỷ",Saigon Riverside Complex Q7,67 m²,Đã bàn giao,"26,69 triệu/m²",2 phòng,2 phòng,,,Nhà trống,,,
"90A, Lý Thường Kiệt, Phường 14, Quận 10, Tp Hồ Chí Minh","2,075 tỷ",Xi Grand Court,74 m²,Đã bàn giao,"28,04 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nhà trống,,,
"Mai Chí Thọ, Phường An Khánh (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,81 tỷ",New City Thủ Thiêm,75 m²,Đã bàn giao,"24,13 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nhà trống,,,
"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","4,3 tỷ",Celadon City,85 m²,Đã bàn giao,"50,59 triệu/m²",2 phòng,2 phòng,,,,,,
"30, Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,3 tỷ",4S Riverside Linh Đông,75 m²,Đã bàn giao,"30,67 triệu/m²",2 phòng,2 phòng,,,Nội thất đầy đủ,,,
"Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","2,15 tỷ",Terra Rosa,92 m²,Đã bàn giao,"23,37 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"59, An Phú, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,6 tỷ",Screc II Tower,82 m²,Đã bàn giao,"43,9 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,Căn góc
"Số 9, Nguyễn Khoái, Phường 1, Quận 4, Tp Hồ Chí Minh","2,09 tỷ",Galaxy 9,1 m²,Đã bàn giao,"2,09 tỷ/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"Tân Túc, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh","2,3 tỷ",West Gate Park,59 m²,Đã bàn giao,"38,98 triệu/m²",2 phòng,2 phòng,,,,Đông,Tây,
"Hồng Lạc, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh","2,75 tỷ",Bàu Cát 2,72.56 m²,Đã bàn giao,"37,9 triệu/m²",2 phòng,2 phòng,1,,,,Đông Nam,
"Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","1,65 tỷ",Skyway Residence,75 m²,Đã bàn giao,22 triệu/m²,2 phòng,2 phòng,,Đã có sổ,Nhà trống,,,
"Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","1,8 tỷ",PiCity High Park,65 m²,Đã bàn giao,"27,69 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","3,4 tỷ",Mizuki Park,82 m²,Chưa bàn giao,"41,46 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,Đông,,
"Phạm Văn Hai, Phường 3, Quận Tân Bình, Tp Hồ Chí Minh","3,65 tỷ",,70 m²,Đã bàn giao,"52,14 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"368/7, Đường Phan Văn Trị, Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh","1,9 tỷ",,56.2 m²,Đã bàn giao,"33,81 triệu/m²",2 phòng,1 phòng,4,Đã có sổ,,,,
"146, Nguyễn Văn Trỗi, Phường 8, Quận Phú Nhuận, Tp Hồ Chí Minh","4,65 tỷ",Kingston Residence,70 m²,Đã bàn giao,"66,43 triệu/m²",2 phòng,2 phòng,,,Nội thất đầy đủ,,,
"Nguyễn Thị Định, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,34 tỷ",Centana Thủ Thiêm,88 m²,Đã bàn giao,"26,59 triệu/m²",2 phòng,2 phòng,16,,,,,
"Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","3,36 tỷ",Mizuki Park,71 m²,Chưa bàn giao,"47,32 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Nội thất đầy đủ,,,
"18, 18 Đường Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","4,25 tỷ",Khu dân cư Cityland Park Hills,75 m²,Chưa bàn giao,"56,67 triệu/m²",2 phòng,2 phòng,2,,,,Bắc,
"Đường Lê Đại Hành, Phường 15, Quận 11, Tp Hồ Chí Minh","6,7 tỷ",The Flemington,97 m²,Đã bàn giao,"69,07 triệu/m²",3 phòng,2 phòng,12,,,,Đông Nam,
"Tạ Quang Bửu, Phường 5, Quận 8, Tp Hồ Chí Minh","3,65 tỷ",Central Premium,72 m²,Đã bàn giao,"50,69 triệu/m²",2 phòng,2 phòng,,Giấy tờ khác,,,,
"Lê Văn Khương, Phường Thới An, Quận 12, Tp Hồ Chí Minh","2,827757472 tỷ",Võ Đình Apartment,106 m²,Đã bàn giao,"26,68 triệu/m²",3 phòng,2 phòng,5,Đã có sổ,,,,
"An Lạc, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh","3,1 tỷ",Moonlight Park View,76 m²,Đã bàn giao,"40,79 triệu/m²",2 phòng,2 phòng,15,,,,,Căn góc
