DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","2,33 tỷ",Sunrise City,99 m²,Đã bàn giao,"23,54 triệu/m²",2 phòng,,,,,,,
"39, Bến Vân Đồn, Phường 13, Quận 4, Tp Hồ Chí Minh","1,67 tỷ",The Tresor,50 m²,Đã bàn giao,"33,4 triệu/m²",2 phòng,,,,,,,
"225, Bến Chương Dương, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh","2,75 tỷ",Central Garden,1 m²,Đã bàn giao,"2,75 tỷ/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Phạm Văn Đồng, Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,85 tỷ",Flora Novia,60 m²,Đã bàn giao,"30,83 triệu/m²",2 phòng,,,,,,,
"Bình Trưng Tây, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,33 tỷ",Homyland 3 (Homyland Riverside),1 m²,Đã bàn giao,"2,33 tỷ/m²",3 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"83, Lý Chính Thắng, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh","3,35 tỷ",Terra Royal,72 m²,Đã bàn giao,"46,53 triệu/m²",2 phòng,,,,,,,
"Đường Xa Lộ Hà Nội, Phường Thảo Điền (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,25 tỷ",,89 m²,Đã bàn giao,"36,52 triệu/m²",3 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Mai Chí Thọ, Phường Thủ Thiêm (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,89 tỷ",Empire City Thủ Thiêm,1 m²,Đã bàn giao,"2,89 tỷ/m²",2 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh","2,85 tỷ",,51 m²,Đã bàn giao,"55,88 triệu/m²",1 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"11, Phường 11, Quận 6, Tp Hồ Chí Minh","1,29 tỷ",Him Lam Chợ Lớn,1 m²,Đã bàn giao,"1,29 tỷ/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Đại Lộ Đông Tây, Phường 16, Quận 8, Tp Hồ Chí Minh","1,98 tỷ",Carina Plaza,1 m²,Đã bàn giao,"1,98 tỷ/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"An Phú, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,35 tỷ",Masteri An Phú,71 m²,Đã bàn giao,"33,1 triệu/m²",2 phòng,,,,,,,
"Dương Thị Giang, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","1,95 tỷ",,71.5 m²,Đã bàn giao,"27,27 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,9 tỷ",The Sun Avenue,73 m²,Đã bàn giao,"53,42 triệu/m²",2 phòng,2 phòng,,,,Đông Nam,Đông Nam,
"Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Hồ Chí Minh, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","1,725 tỷ",Belleza Apartment,79 m²,Đã bàn giao,"21,84 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Số 4, Số 4 Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","1,95 tỷ",Saigon Riverside Complex Q7,53 m²,Đã bàn giao,"36,79 triệu/m²",2 phòng,2 phòng,,,,,,
"Số 9, Số 9 Số 9 Đường Nguyễn Khoái, Phường 2, Quận 4, Hồ Chí Minh, Phường 1, Quận 4, Tp Hồ Chí Minh","1,816 tỷ",Galaxy 9,65 m²,Đã bàn giao,"27,94 triệu/m²",2 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Đường Phạm Văn Đồng, phường Linh Tây, Thủ Đức, Tp.HCM, Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,915 tỷ",Flora Novia,75 m²,Đã bàn giao,"25,53 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nhà trống,,,
"Tân Mỹ, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","2,55 tỷ",Khu căn hộ Res 3,74 m²,Đã bàn giao,"34,46 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Số 4, Số 4 Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,4 tỷ",Saigon Riverside Complex Q7,67 m²,Đã bàn giao,"35,82 triệu/m²",2 phòng,2 phòng,,,,,,
"Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","1,62 tỷ",Chung cư Riverside 90,70 m²,Đã bàn giao,"23,14 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
