DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"Nội khu dự án Vinhomes Grand Park- đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, TP HCM., Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",450 triệu,The Origami – Vinhomes Grand Park,69 m²,Đã bàn giao,"6,52 triệu/m²",2 phòng,2 phòng,,,,Đông Nam,Đông Bắc,
"208, Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",8 tỷ,Vinhomes Central Park,110 m²,Đã bàn giao,"72,73 triệu/m²",3 phòng,2 phòng,,,,,,
"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","4,95 tỷ",Vinhomes Grand Park,78.9 m²,Chưa bàn giao,"62,74 triệu/m²",2 phòng,2 phòng,4,,,Tây Nam,,
"Chung Cư Cửu Long 351/31, Đường Nơ Trang Long, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh","2,55 tỷ",,80 m²,Đã bàn giao,"31,88 triệu/m²",2 phòng,2 phòng,,,,Tây,Đông,
"Lô 11B KĐT Nam Thành Phố, Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","1,65 tỷ",Happy City - Khu đô thị Hạnh Phúc,67 m²,Chưa bàn giao,"24,63 triệu/m²",2 phòng,1 phòng,21,,,,Bắc,
"12-08, Đường 59, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh","2,3 tỷ",,62 m²,Đã bàn giao,"37,1 triệu/m²",2 phòng,2 phòng,12,,,,Đông Nam,
"Số 1, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,9 tỷ",Lavita Charm,67.3 m²,Đã bàn giao,"43,09 triệu/m²",2 phòng,2 phòng,9,,,,Đông Bắc,
"Số 59, Ngô Tất Tố, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh","1,48 tỷ",City Garden,104 m²,Đã bàn giao,"14,23 triệu/m²",2 phòng,2 phòng,9,Đã có sổ,,,,
"Số 34-35, Bến Vân Đồn, Phường 13, Quận 4, Tp Hồ Chí Minh","1,79 tỷ",Saigon Royal Residence,80 m²,Đã bàn giao,"22,38 triệu/m²",2 phòng,2 phòng,,,,,,
"Số 207, Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","1,55 tỷ",Richmond City,74 m²,Đã bàn giao,"20,95 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,
"307, Nguyễn Duy Trinh, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,5 tỷ",,75 m²,Đã bàn giao,"33,33 triệu/m²",2 phòng,2 phòng,,,Nội thất đầy đủ,,,
"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,7 tỷ",Ricca,58 m²,Đã bàn giao,"29,31 triệu/m²",2 phòng,,,,Nội thất đầy đủ,,,
"Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","1,1 tỷ",Anh Tuấn Apartment,64 m²,Đã bàn giao,"17,19 triệu/m²",2 phòng,2 phòng,15,,,,,
"Đường Tăng Nhơn Phú, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,4 tỷ",,58 m²,Đã bàn giao,"41,38 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"13E, Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","1,52 tỷ",Sài Gòn Intela,50 m²,Đã bàn giao,"30,4 triệu/m²",2 phòng,2 phòng,22,,,,Tây,
"Mai Chí Thọ, Phường An Khánh (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,57 tỷ",New City Thủ Thiêm,75 m²,Đã bàn giao,"20,93 triệu/m²",2 phòng,2 phòng,,,,,,
"56, 56 Số 56 Bến Vân Đồn, Phường 12, Quận 4, TP Hồ Chí Minh, Phường 13, Quận 4, Tp Hồ Chí Minh","1,41 tỷ",Icon 56,80 m²,Đã bàn giao,"17,63 triệu/m²",2 phòng,2 phòng,,,,,,
"Đường Nguyễn Văn Linh, Phường Tân Thuận Tây,  Quận 7, Hồ Chí Minh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh","3,9 tỷ",Eco Green Sài Gòn,72 m²,Đã bàn giao,"54,17 triệu/m²",2 phòng,2 phòng,,,,,,Căn góc
