DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"28, Huong Lo 80, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh","1,1 tỷ",,43 m²,Chưa bàn giao,"25,58 triệu/m²",1 phòng,1 phòng,18,,,,Tây Nam,
"38N5, Đường Nguyễn Thị Búp, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","2,15 tỷ",,60 m²,Đã bàn giao,"35,83 triệu/m²",2 phòng,2 phòng,7,,,,Nam,
"Đường Quốc Lộ 1A, Phường Bình Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,3 tỷ",,55 m²,Đã bàn giao,"23,64 triệu/m²",2 phòng,,,Đã có sổ,Nội thất cao cấp,,,Căn góc
"An Phú, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","4,85 tỷ",Masteri An Phú,70 m²,Chưa bàn giao,"69,29 triệu/m²",2 phòng,2 phòng,37,,,,Bắc,
"Cao Đạt, Phường 4, Quận 5, Tp Hồ Chí Minh","2,7 tỷ",,68 m²,Chưa bàn giao,"39,71 triệu/m²",2 phòng,1 phòng,,Đã có sổ,,,,
"Số 29, Hòa Hảo, Phường 2, Quận 10, Tp Hồ Chí Minh","2,2 tỷ",Cao Ốc B Ngô Gia Tự,53 m²,Đã bàn giao,"41,51 triệu/m²",2 phòng,1 phòng,10,,,,Tây Nam,
"Đường Số 1, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","2,8 tỷ",,80 m²,Chưa bàn giao,35 triệu/m²,2 phòng,2 phòng,17,,,,,
"Hẻm 244 Nguyễn Văn Nghi, Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh","4,9 triệu",,30 m²,Đã bàn giao,163.333 đ/m²,1 phòng,1 phòng,,,,Đông,,
"Số 4, Số 4 Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,8 tỷ",Saigon Riverside Complex Q7,67 m²,Đã bàn giao,"41,79 triệu/m²",2 phòng,2 phòng,10,,,,Đông Nam,
"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,8 tỷ",Vinhomes Grand Park,70 m²,Chưa bàn giao,"54,29 triệu/m²",2 phòng,2 phòng,,,,Đông Nam,Tây Bắc,
"Chung Cư Miếu Nỗi 18 Tầng 54, Vũ Huy Tấn, Phường 3, Quận Bình Thạnh, Tp Hồ Chí Minh","2,9 tỷ",,54 m²,Đã bàn giao,"53,7 triệu/m²",2 phòng,1 phòng,6,,,Bắc,Nam,
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,8 tỷ",Vinhomes Grand Park,95 m²,Chưa bàn giao,"18,95 triệu/m²",3 phòng,2 phòng,7,,,Đông Bắc,,
"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,8 tỷ",Vinhomes Grand Park,95 m²,Đã bàn giao,"18,95 triệu/m²",3 phòng,2 phòng,77,,,,,
"Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","1,75 tỷ",,1 m²,Đã bàn giao,"1,75 tỷ/m²",2 phòng,2 phòng,,Đã có sổ,,,,
